abide	abode,abided	abode,abided,abidden	abides	abiding
crib-bite	crib-bit	crib-bitten	crib-bites	crib-biting
cross-bite	cross-bit	cross-bitten	cross-bites	cross-biting
cross-string	cross-strung	cross-strung	cross-strings	cross-stringing
crossbreed	crossbred	crossbred	crossbreeds	crossbreeding
crosscut	crosscut	crosscut	crosscuts	crosscutting
crosslight	crosslit	crosslit	crosslights	crosslighting
crow	crowed,crew	crowed	crows	crowing
cut	cut	cut	cuts	cutting
dare	dared,durst	dared	dares	daring
daydream	daydreamt,daydreamt	daydreamt,daydreamt	daydreams	daydreaming
deal	dealt	dealt	deals	dealing
deep-freeze	deep-froze	deep-frozen	deep-freezes	deep-freezing
dig	dug	dug	digs	digging
dight	dight,dighted	dight,dighted	dights	dighting
dispread	dispread	dispread	dispreads	dispreading
disprove	disproved	disproven,disproved	disproves	disproving
dive	dived,dove	dived	dives	diving
do	did	done	does	doing
dogfight	dogfought	dogfought	dogfights	dogfighting
dow	dought,dowed	dought,dowed	dows	dowing
draw	drew	drawn	draws	drawing
dream	dreamt,dreamed	dreamt,dreamed	dreams	dreaming
drink	drank	drunk	drinks	drinking
drip-feed	drip-fed	drip-fed	drip-feeds	drip-feeding
drive	drove	driven	drives	driving
dwell	dwelt	dwelt	dwells	dwelling
eat	ate	eaten	eats	eating
end-run	end-ran	end-run	end-runs	end-running
engird	engirt	engirt	engirds	engirding
engrave	engraved	engraved,engraven	engraves	engraving
enwind	enwound	enwound	enwinds	enwinding
fall	fell	fallen	falls	falling
farebeat	farebeat	farebeaten	farebeats	farebeating
fast-cut	fast-cut	fast-cut	fast-cuts	fast-cutting
feed	fed	fed	feeds	feeding
feel	felt	felt	feels	feeling
fight	fought	fought	fights	fighting
find	found	found	finds	finding
fit	fit,fitted	fit,fitted	fits	fitting
flash-freeze	flash-froze	flash-frozen	flash-freezes	flash-freezing
flee	fled	fled	flees	fleeing
fling	flung	flung	flings	flinging
floodlight	floodlit	floodlit	floodlights	floodlighting
fly	flew	flown	flies	flying
flyblow	flyblew	flyblown	flyblows	flyblowing
forbear	forbore	forborne,forborn	forbears	forbearing
forbid	forbade,forbad	forbidden	forbids	forbidding
force-feed	force-fed	force-fed	force-feeds	force-feeding
fordo,foredo	fordid	fordone	fordoes	fordoing
forecast	forecast,forecasted	forecast,forecasted	forecasts	forecasting
forefeel	forefelt	forefelt	forefeels	forefeeling
forego	forewent	foregone	foregoes	foregoing
foreknow	foreknew	foreknown	foreknows	foreknowing
forerun	foreran	forerun	foreruns	forerunning
foresee	foresaw	foreseen	foresees	foreseeing
foreshow	foreshowed	forshowed,foreshown	foreshows	foreshowing
forespeak	forespoke	forespoken	forespeaks	forespeaking
foretell	foretold	foretold	foretells	foretelling
forget	forgot	forgotten	forgets	foregetting
forgive	forgave	forgiven	forgives	forgiving
forlese	forlore	forlorn	forleses	forlesing
forsake	forsook	forsaken	forsakes	forsaking
